topic_id,category_id,post_count,avg_score
106275,7,5,1108.36
106294,7,4,1953.45
106296,7,2,800.2
106298,7,16,1238.8375
106468,19,2,53.800000000000004
106488,7,8,839.625
10649,7,5,179.44
106527,7,7,1014.8
106531,19,1,231.2
106542,21,1,3312.4
106555,21,7,24.285714285714285
106556,19,1,21.4
106565,7,2,58.800000000000004
106621,6,3,78296.4
106630,7,8,133.3
106645,21,2,24.5
106700,19,1,75.2
106740,7,9,516.9777777777776
106746,7,6,103.76666666666665
106752,7,4,297.0
106760,19,1,60.4
106767,7,2,604.6999999999999
106781,8,19,41.34736842105264
106783,21,3,1255.2
1067,7,6,304.9
106800,7,4,65.25
106802,7,3,244.73333333333335
10686,7,3,83.60000000000001
10689,7,21,1046.1809523809522
106903,7,40,4666.679999999999
106916,7,2,434.29999999999995
106918,8,2,885.0
10691,21,3,30.2
10692,7,5,41.28
106935,7,4,16.65
106942,19,2,18.8
10697,21,26,544.8076923076925
106996,7,4,543.75
10699,7,4,82.85
107019,8,8,251.12499999999997
107025,7,8,308.95
107039,7,35,720.0628571428571
107055,7,3,114.59999999999998
10705,8,7,768.4571428571428
107092,7,2,962.2
107098,7,43,491.3348837209302
107104,7,3,4167.933333333333
107116,19,4,5103.7
107117,7,3,1029.2666666666667
107122,21,4,1499.25
107153,21,1,2628.6
107201,19,2,18.0
107206,7,11,1950.6363636363637
107226,7,28,4638.535714285716
107251,7,9,165.91111111111115
107254,7,2,150.9
10725,8,5,153.84
10727,21,12,242.75
107321,19,14,633.4142857142858
10732,7,2,18.3
107332,7,4,202.65
107334,7,10,25319.999999999996
107489,19,2,291.5
10748,8,1,71.0
107491,19,4,448.65
10749,7,1,68.4
107630,19,7,273.6571428571429
107642,7,5,114.72
107662,19,4,200.6
107663,19,1,41.0
107684,19,5,56.839999999999996
107726,19,4,79.50000000000001
107803,7,8,345.15
107823,7,4,1585.45
107832,21,11,2320.872727272727
107845,19,1,231.2
107851,19,2,112.8
10787,7,2,3549.0
10792,8,2,113.9
10795,21,7,50.34285714285714
107961,19,11,2178.5454545454545
107979,8,12,1307.966666666667
108027,19,1,697.2
10804,7,1,159.2
108073,19,1,45.8
108098,7,26,75.52307692307694
10809,8,2,42.5
108163,7,2,1187.6
108172,8,6,806.0333333333334
108215,7,9,1116.4666666666662
10821,7,2,167.2
108235,19,10,4090.04
10826,7,1,179.6
108287,19,39,1630.9641025641026
10831,21,2,35.5
108326,7,12,768.5833333333335
10833,21,1,86.0
108364,19,1,2022.4
108370,7,4,1507.4000000000003
108372,7,7,214.31428571428572
108388,19,2,300.2
108410,19,1,25.6
108449,7,2,518.7
10844,7,3,186.4
108457,7,1,145.0
10845,7,3,38.46666666666667
108490,21,1,1163.8
108491,7,1,139.0
108507,19,2,133.5
10852,7,2,102.0
108544,19,138,475.5101449275361
108545,7,2,325.1
